genre,count,year
Comedy,118,2014
Action,89,2014
Drama,89,2014
Crime,31,2014
Adventure,26,2014
Biography,25,2014
Documentary,20,2014
Horror,15,2014
Animation,5,2014
Western,3,2014
Short,3,2014
Adult,2,2014
Mystery,1,2014
Fantasy,1,2014
Reality-TV,1,2014
Talk-Show,1,2014
Romance,1,2014
Comedy,147,2015
Drama,120,2015
Action,84,2015
Crime,44,2015
Adventure,39,2015
Documentary,33,2015
Biography,25,2015
Horror,19,2015
Animation,10,2015
Short,7,2015
Fantasy,3,2015
Adult,3,2015
Thriller,2,2015
Sci-Fi,2,2015
Family,1,2015
Mystery,1,2015
Musical,1,2015
Western,1,2015
Music,1,2015
Reality-TV,1,2015
Comedy,89,2016
Action,67,2016
Drama,67,2016
Documentary,60,2016
Adventure,36,2016
Biography,33,2016
Crime,24,2016
Animation,11,2016
Horror,9,2016
Fantasy,5,2016
Game-Show,4,2016
Short,3,2016
Reality-TV,3,2016
Sci-Fi,2,2016
Musical,2,2016
Family,2,2016
Western,2,2016
Adult,2,2016
Music,1,2016
Thriller,1,2016
History,1,2016
Talk-Show,1,2016
Comedy,127,2017
Drama,85,2017
Action,61,2017
Documentary,57,2017
Crime,46,2017
Adventure,41,2017
Biography,23,2017
Horror,9,2017
Animation,9,2017
Family,5,2017
Western,4,2017
Short,4,2017
Fantasy,2,2017
Adult,2,2017
News,1,2017
Game-Show,1,2017
Talk-Show,1,2017
Sci-Fi,1,2017
Comedy,46,2018
Action,41,2018
Drama,31,2018
Documentary,21,2018
Adventure,18,2018
Crime,13,2018
Biography,7,2018
Animation,6,2018
Horror,2,2018
Short,2,2018
Reality-TV,2,2018
Talk-Show,2,2018
Family,2,2018
Game-Show,2,2018
Western,1,2018
Mystery,1,2018
Thriller,1,2018
Comedy,121,2019
Action,81,2019
Drama,79,2019
Documentary,40,2019
Crime,35,2019
Adventure,30,2019
Biography,23,2019
Animation,19,2019
Reality-TV,8,2019
Horror,7,2019
Thriller,6,2019
Fantasy,4,2019
Talk-Show,4,2019
Short,4,2019
Adult,3,2019
Game-Show,3,2019
Family,3,2019
Mystery,2,2019
Western,2,2019
Music,1,2019
Sport,1,2019
Sci-Fi,1,2019
News,1,2019
Musical,1,2019
Comedy,214,2020
Drama,174,2020
Action,152,2020
Documentary,73,2020
Adventure,71,2020
Crime,70,2020
Animation,48,2020
Biography,44,2020
Reality-TV,21,2020
Horror,20,2020
Talk-Show,18,2020
Game-Show,10,2020
Family,8,2020
Short,7,2020
Music,5,2020
Romance,4,2020
Fantasy,4,2020
Musical,3,2020
Adult,3,2020
Mystery,3,2020
Thriller,3,2020
Western,2,2020
History,1,2020
Comedy,177,2021
Action,145,2021
Drama,136,2021
Crime,70,2021
Documentary,57,2021
Adventure,54,2021
Biography,38,2021
Animation,28,2021
Horror,23,2021
Reality-TV,17,2021
Game-Show,8,2021
Talk-Show,7,2021
Family,7,2021
Thriller,5,2021
Romance,5,2021
Fantasy,4,2021
Adult,3,2021
Western,3,2021
Mystery,3,2021
Music,2,2021
Short,2,2021
Film-Noir,1,2021
Musical,1,2021
Sci-Fi,1,2021
War,1,2021
Comedy,197,2022
Action,154,2022
Drama,147,2022
Crime,66,2022
Documentary,53,2022
Adventure,45,2022
Biography,33,2022
Animation,28,2022
Reality-TV,28,2022
Horror,13,2022
Game-Show,9,2022
Short,7,2022
Talk-Show,6,2022
Thriller,3,2022
Family,3,2022
Sci-Fi,3,2022
Mystery,3,2022
Adult,2,2022
Romance,1,2022
History,1,2022
Music,1,2022
Western,1,2022
Comedy,202,2023
Drama,129,2023
Action,128,2023
Crime,74,2023
Documentary,53,2023
Adventure,42,2023
Biography,23,2023
Reality-TV,23,2023
Animation,23,2023
Horror,17,2023
Game-Show,12,2023
Short,10,2023
Romance,6,2023
Adult,4,2023
Talk-Show,3,2023
Family,3,2023
Fantasy,3,2023
Thriller,3,2023
Western,2,2023
History,1,2023
Music,1,2023
Sci-Fi,1,2023
Mystery,1,2023
Sport,1,2023
Comedy,96,2024
Action,60,2024
Drama,55,2024
Crime,29,2024
Documentary,28,2024
Adventure,28,2024
Biography,11,2024
Reality-TV,8,2024
Animation,7,2024
Short,6,2024
Horror,5,2024
Music,3,2024
Romance,2,2024
Game-Show,2,2024
Talk-Show,2,2024
Musical,1,2024
Thriller,1,2024
News,1,2024
Western,1,2024
Family,1,2024
 Excavators,1,2024
Adult,1,2024
Fantasy,1,2024
