media,date added,averageRating,numVotes,genres
american psycho,January 2014,7.6,728640.0,Crime
the grapes of wrath,January 2014,8.1,100776.0,Drama
big trouble in little china,January 2014,7.2,155675.0,Action
the apartment,January 2014,8.3,198880.0,Comedy
mommie dearest,January 2014,6.6,18612.0,Biography
3 women,January 2014,7.7,17651.0,Drama
hotel rwanda,January 2014,8.1,374105.0,Biography
the amityville horror,January 2014,6.2,45005.0,Horror
beverly hills cop iii,January 2014,5.5,93585.0,Action
big star: nothing can hurt me,January 2014,7.1,1458.0,Documentary
bull durham,January 2014,7.0,60102.0,Comedy
bulletproof monk,January 2014,5.5,52378.0,Action
changing lanes,January 2014,6.5,75042.0,Drama
children of a lesser god,January 2014,7.2,18842.0,Drama
control room,January 2014,7.7,5274.0,Documentary
the day the earth stood still,January 2014,7.7,86379.0,Drama
days of thunder,January 2014,6.1,97229.0,Action
escape from alcatraz,January 2014,7.6,148817.0,Action
ghost,January 2014,7.2,613.0,Horror
ghost dog: the way of the samurai,January 2014,7.5,97844.0,Crime
good burger,January 2014,5.8,34013.0,Comedy
hansel & gretel: witch hunters,January 2014,6.1,217947.0,Action
narc,January 2014,7.6,13.0,Drama
the ninth gate,January 2014,6.7,199022.0,Mystery
raging bull,January 2014,8.1,383177.0,Biography
red dawn,January 2014,6.3,63829.0,Action
reindeer games,January 2014,5.8,42579.0,Action
saved!,January 2014,6.7,49292.0,Comedy
scrooged,January 2014,6.9,116945.0,Comedy
some like it hot,January 2014,6.6,321.0,Comedy
spaceballs,January 2014,7.1,208965.0,Adventure
stand up guys,January 2014,6.4,57989.0,Comedy
star trek: the motion picture,January 2014,6.4,97299.0,Adventure
texas chainsaw,January 2014,4.8,56465.0,Horror
thelma and louise,January 2014,8.5,50.0,Comedy
tora! tora! tora!,January 2014,7.5,37565.0,Action
the virgin suicides,January 2014,7.2,171090.0,Drama
west side story,January 2014,7.6,121943.0,Crime
alyce kills,February 2014,5.4,3227.0,Horror
bubba ho-tep,February 2014,6.9,51744.0,Comedy
the usual suspects,February 2014,8.5,1153976.0,Crime
a life less ordinary,February 2014,6.3,37306.0,Comedy
suddenly,February 2014,6.8,7449.0,Crime
city of men,February 2014,7.8,202.0,Short
the naked gun,February 2014,7.8,94.0,Western
heartbreakers,February 2014,6.1,654.0,Drama
broken,February 2014,6.8,196.0,Drama
home of the brave,February 2014,7.0,800.0,Drama
north dallas forty,February 2014,6.9,6050.0,Comedy
concussion,February 2014,5.4,19.0,Adventure
down periscope,February 2014,6.2,27015.0,Comedy
intersection,February 2014,5.4,9167.0,Drama
airheads,February 2014,6.2,56783.0,Comedy
leap of faith,February 2014,6.1,126.0,Drama
failure to launch,February 2014,5.6,86324.0,Comedy
american milkshake,February 2014,4.7,343.0,Comedy
star trek v: the final frontier,February 2014,5.5,64686.0,Action
flashdance,February 2014,6.2,60128.0,Drama
mash,February 2014,8.7,88.0,Comedy
patriot games,February 2014,6.8,121474.0,Action
shes having a baby,February 2014,7.4,42.0,Comedy
the hard way,February 2014,7.1,1505.0,Drama
marathon man,February 2014,7.4,70807.0,Crime
queer as folk,February 2014,8.2,7672.0,Comedy
airplane!,February 2014,7.7,263945.0,Comedy
jesus christ superstar,February 2014,7.4,30175.0,Drama
bad parents,February 2014,6.3,29.0,Animation
sunset boulevard,February 2014,8.4,238561.0,Drama
the dancer upstairs,February 2014,6.8,6898.0,Crime
harold and maude,February 2014,7.9,82300.0,Comedy
vanilla sky,March 2014,6.9,287665.0,Fantasy
brokedown palace,March 2014,6.4,24186.0,Drama
below,March 2014,6.1,24309.0,Action
true grit,March 2014,7.4,51869.0,Adventure
over the top,March 2014,6.1,20.0,Drama
the wood,March 2014,7.0,10324.0,Comedy
roman holiday,March 2014,8.0,148777.0,Comedy
dirty pretty things,March 2014,7.2,44227.0,Crime
the blair witch project,March 2014,6.5,289044.0,Horror
robin hood: men in tights,March 2014,6.7,138117.0,Adventure
the united states of leland,March 2014,7.0,24376.0,Drama
american dreamz,March 2014,5.5,25265.0,Comedy
the ice storm,March 2014,7.3,60420.0,Drama
kicking and screaming,March 2014,6.7,15317.0,Comedy
