media,date added,averageRating,numVotes,genres,golden_globe_wins,golden_globe_nominations,oscar_awards,oscar_nominations
american psycho,January 2014,7.6,728640.0,Crime,0.0,0.0,0.0,0.0
the grapes of wrath,January 2014,8.1,100776.0,Drama,0.0,0.0,2.0,7.0
big trouble in little china,January 2014,7.2,155675.0,Action,0.0,0.0,0.0,0.0
the apartment,January 2014,8.3,198880.0,Comedy,0.0,0.0,5.0,10.0
mommie dearest,January 2014,6.6,18612.0,Biography,0.0,0.0,0.0,0.0
3 women,January 2014,7.7,17651.0,Drama,0.0,0.0,0.0,0.0
hotel rwanda,January 2014,8.1,374105.0,Biography,0.0,2.0,0.0,3.0
the amityville horror,January 2014,6.2,45005.0,Horror,0.0,0.0,0.0,1.0
beverly hills cop iii,January 2014,5.5,93585.0,Action,0.0,0.0,0.0,0.0
big star: nothing can hurt me,January 2014,7.1,1458.0,Documentary,0.0,0.0,0.0,0.0
bull durham,January 2014,7.0,60102.0,Comedy,0.0,2.0,0.0,1.0
bulletproof monk,January 2014,5.5,52378.0,Action,0.0,0.0,0.0,0.0
changing lanes,January 2014,6.5,75042.0,Drama,0.0,0.0,0.0,0.0
children of a lesser god,January 2014,7.2,18842.0,Drama,1.0,2.0,1.0,5.0
control room,January 2014,7.7,5274.0,Documentary,0.0,0.0,0.0,0.0
the day the earth stood still,January 2014,7.7,86379.0,Drama,1.0,2.0,0.0,0.0
days of thunder,January 2014,6.1,97229.0,Action,0.0,0.0,0.0,1.0
escape from alcatraz,January 2014,7.6,148817.0,Action,0.0,0.0,0.0,0.0
ghost,January 2014,7.2,613.0,Horror,1.0,3.0,2.0,5.0
ghost dog: the way of the samurai,January 2014,7.5,97844.0,Crime,0.0,0.0,0.0,0.0
good burger,January 2014,5.8,34013.0,Comedy,0.0,0.0,0.0,0.0
hansel & gretel: witch hunters,January 2014,6.1,217947.0,Action,0.0,0.0,0.0,0.0
narc,January 2014,7.6,13.0,Drama,0.0,0.0,0.0,0.0
the ninth gate,January 2014,6.7,199022.0,Mystery,0.0,0.0,0.0,0.0
raging bull,January 2014,8.1,383177.0,Biography,1.0,6.0,2.0,8.0
red dawn,January 2014,6.3,63829.0,Action,0.0,0.0,0.0,0.0
reindeer games,January 2014,5.8,42579.0,Action,0.0,0.0,0.0,0.0
saved!,January 2014,6.7,49292.0,Comedy,0.0,0.0,0.0,0.0
scrooged,January 2014,6.9,116945.0,Comedy,0.0,0.0,0.0,1.0
some like it hot,January 2014,6.6,321.0,Comedy,2.0,2.0,1.0,6.0
spaceballs,January 2014,7.1,208965.0,Adventure,0.0,0.0,0.0,0.0
stand up guys,January 2014,6.4,57989.0,Comedy,0.0,1.0,0.0,0.0
star trek: the motion picture,January 2014,6.4,97299.0,Adventure,0.0,1.0,0.0,0.0
texas chainsaw,January 2014,4.8,56465.0,Horror,0.0,0.0,0.0,0.0
thelma and louise,January 2014,8.5,50.0,Comedy,0.0,0.0,0.0,0.0
tora! tora! tora!,January 2014,7.5,37565.0,Action,0.0,0.0,1.0,5.0
the virgin suicides,January 2014,7.2,171090.0,Drama,0.0,0.0,0.0,0.0
west side story,January 2014,7.6,121943.0,Crime,2.0,6.0,11.0,18.0
alyce kills,February 2014,5.4,3227.0,Horror,0.0,0.0,0.0,0.0
bubba ho-tep,February 2014,6.9,51744.0,Comedy,0.0,0.0,0.0,0.0
the usual suspects,February 2014,8.5,1153976.0,Crime,0.0,0.0,2.0,2.0
a life less ordinary,February 2014,6.3,37306.0,Comedy,0.0,0.0,0.0,0.0
suddenly,February 2014,6.8,7449.0,Crime,0.0,0.0,0.0,0.0
city of men,February 2014,7.8,202.0,Short,0.0,0.0,0.0,0.0
the naked gun,February 2014,7.8,94.0,Western,0.0,0.0,0.0,0.0
heartbreakers,February 2014,6.1,654.0,Drama,0.0,0.0,0.0,0.0
broken,February 2014,6.8,196.0,Drama,0.0,0.0,0.0,0.0
home of the brave,February 2014,7.0,800.0,Drama,0.0,1.0,0.0,0.0
north dallas forty,February 2014,6.9,6050.0,Comedy,0.0,0.0,0.0,0.0
concussion,February 2014,5.4,19.0,Adventure,0.0,1.0,0.0,0.0
down periscope,February 2014,6.2,27015.0,Comedy,0.0,0.0,0.0,0.0
intersection,February 2014,5.4,9167.0,Drama,0.0,0.0,0.0,0.0
airheads,February 2014,6.2,56783.0,Comedy,0.0,0.0,0.0,0.0
leap of faith,February 2014,6.1,126.0,Drama,0.0,0.0,0.0,0.0
failure to launch,February 2014,5.6,86324.0,Comedy,0.0,0.0,0.0,0.0
american milkshake,February 2014,4.7,343.0,Comedy,0.0,0.0,0.0,0.0
star trek v: the final frontier,February 2014,5.5,64686.0,Action,0.0,0.0,0.0,0.0
flashdance,February 2014,6.2,60128.0,Drama,2.0,4.0,1.0,4.0
mash,February 2014,8.7,88.0,Comedy,0.0,0.0,0.0,0.0
patriot games,February 2014,6.8,121474.0,Action,0.0,0.0,0.0,0.0
shes having a baby,February 2014,7.4,42.0,Comedy,0.0,0.0,0.0,0.0
the hard way,February 2014,7.1,1505.0,Drama,0.0,0.0,0.0,0.0
marathon man,February 2014,7.4,70807.0,Crime,1.0,5.0,0.0,1.0
queer as folk,February 2014,8.2,7672.0,Comedy,0.0,0.0,0.0,0.0
